Player,Team,#,Nation,Position,Age,Matches,Starts,Minutes,Goals,Assists,Penalty Shoot,Total Shoot,Shoot on Target,Expected Goals (xG),Non-Penalty xG (npxG),Expected Assists (xAG),Yellow Cards,Red Cards,Touches,Dribbles,Tackles,Blocks,Shot-Creating Actions,Goal-Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Dribble Attempts,Successful Dribbles
Antonio Raillo,Mallorca,21,ESP,CB,32-315,16,16,1420,1,0,0,14,3,0.05,0.05,0.05625000000000001,2,0,909,14,21,20,10,1,651,756,46,418,16,3,2
Paulo Gazzaniga,Girona,13,ARG,GK,32-226,15,15,1350,0,0,0,0,0,0.0,0.0,0.0,3,0,554,1,0,0,0,0,437,532,0,325,0,2,1
Sergio Herrera,Osasuna,1,ESP,GK,31-073,15,15,1350,0,0,0,0,0,0.0,0.0,0.0,3,0,557,2,0,1,2,0,326,505,0,266,0,0,0
Álex Remiro,Real Sociedad,1,ESP,GK,29-147,15,15,1350,0,0,0,0,0,0.0,0.0,0.0,0,0,538,0,0,0,2,0,390,508,0,296,0,0,0
Enzo Boyomo,Valladolid,6,CMR,CB,22-317,15,15,1350,1,0,0,6,2,0.020000000000000004,0.020000000000000004,0.0,3,0,749,31,15,21,4,0,516,596,38,376,2,4,4
Antonio Sivera,Alavés,1,ESP,GK,28-005,15,15,1350,0,0,0,0,0,0.0,0.0,0.006666666666666667,3,0,483,1,0,0,7,0,250,444,1,224,0,0,0
David Soria,Getafe,13,ESP,GK,31-133,15,15,1350,0,0,0,0,0,0.0,0.0,0.0,0,0,399,3,0,0,3,0,199,367,0,162,0,0,0
Rui Silva,Real Betis,1,POR,GK,30-190,15,15,1350,0,0,0,0,0,0.0,0.0,0.006666666666666667,1,0,553,0,0,1,5,0,412,524,0,333,0,0,0
Raphinha,Barcelona,11,BRA,"AM,LW,RW",27-247,16,16,1347,11,6,1,50,23,0.6375,0.5875,0.475,1,0,835,19,5,10,89,15,469,666,71,443,52,46,23
Luis Milla,Getafe,5,ESP,CM,29-313,15,15,1334,1,1,1,18,3,0.09333333333333332,0.04000000000000001,0.1,1,0,842,30,9,19,66,2,515,698,85,395,21,21,11
Iñigo Martínez,Barcelona,5,ESP,CB,33-092,15,15,1330,0,1,0,7,1,0.020000000000000004,0.020000000000000004,0.08,3,0,1475,16,11,9,26,4,1237,1367,114,958,32,0,0
Carmona,Sevilla,32,ESP,RB,22-200,15,15,1322,0,0,0,11,3,0.013333333333333334,0.013333333333333334,0.05333333333333334,3,0,1000,41,34,15,24,0,686,848,53,456,14,17,6
Martín Zubimendi,Real Sociedad,4,ESP,CM,25-198,15,15,1305,1,1,0,11,4,0.10666666666666667,0.10666666666666667,0.03333333333333333,2,0,1020,39,16,18,25,3,722,852,103,500,26,17,12
Sergi,Leganés,6,ESP,CB,32-119,15,15,1302,1,0,0,5,2,0.060000000000000005,0.060000000000000005,0.0,2,0,892,19,23,15,6,2,608,731,30,462,3,2,2
Federico Valverde,Real Madrid,8,URU,"RM,LM",26-027,15,15,1300,3,2,0,18,11,0.04666666666666667,0.04666666666666667,0.09333333333333332,2,0,1078,23,26,23,36,6,836,941,92,629,27,13,8
Pau Cubarsí,Barcelona,2,ESP,CB,17-208,16,16,1291,0,1,0,7,0,0.043750000000000004,0.043750000000000004,0.05625,3,0,1314,12,10,5,21,4,1146,1225,82,812,8,4,4
Samu Costa,Mallorca,12,POR,LM,23-265,15,15,1279,0,2,0,18,6,0.060000000000000005,0.060000000000000005,0.06666666666666667,6,1,889,40,17,21,28,4,577,709,63,491,9,11,4
Antonio Rüdiger,Real Madrid,22,GER,CB,31-168,15,15,1267,0,0,0,12,2,0.07333333333333333,0.07333333333333333,0.006666666666666667,1,0,1155,11,5,15,15,1,950,1040,53,714,10,3,2
Omar Alderete,Getafe,15,PAR,CB,27-233,14,14,1260,0,0,0,18,6,0.021428571428571432,0.021428571428571432,0.049999999999999996,3,0,707,20,15,13,22,3,368,540,61,292,17,11,6
Jan Oblak,Atlético Madrid,13,SVN,GK,31-225,14,14,1260,0,0,0,0,0,0.0,0.0,0.0,0,0,385,0,0,0,3,1,295,367,0,205,0,1,1
Catena,Osasuna,24,ESP,CB,29-294,14,14,1260,0,0,0,5,1,0.028571428571428574,0.028571428571428574,0.0,4,0,664,24,15,16,7,1,378,502,31,286,6,3,2
Diego Conde,Villarreal,13,ESP,GK,25-296,14,14,1260,0,1,0,0,0,0.0,0.0,0.014285714285714287,1,0,438,2,1,0,3,1,311,397,0,256,0,0,0
Joan García,Espanyol,1,ESP,GK,23-107,14,14,1260,0,0,0,1,1,0.0071428571428571435,0.0071428571428571435,0.0,2,0,473,0,0,0,1,0,305,443,1,283,0,0,0
Karl Jakob Hein,Valladolid,13,EST,GK,22-128,14,14,1260,0,0,0,0,0,0.0,0.0,0.0,0,0,603,0,0,0,2,0,410,556,0,319,0,0,0
Diego Rico,Getafe,16,ESP,LB,31-174,15,15,1257,0,1,0,9,3,0.013333333333333334,0.013333333333333334,0.09333333333333334,4,0,844,41,13,11,41,5,476,705,61,320,20,9,4
Jules Koundé,Barcelona,23,FRA,RB,25-279,16,16,1255,1,2,0,8,2,0.018750000000000003,0.018750000000000003,0.10625,2,0,1107,33,7,16,22,3,823,954,73,540,23,28,13
Miguel Gutiérrez,Girona,3,ESP,"LB,WB",23-019,14,14,1251,1,2,0,16,7,0.07142857142857142,0.07142857142857142,0.19999999999999998,1,0,911,23,9,6,37,3,658,778,56,496,33,37,16
Robert Lewandowski,Barcelona,9,POL,FW,35-362,15,15,1248,15,2,3,48,25,0.94,0.7866666666666667,0.15333333333333335,1,0,432,6,1,9,33,1,204,276,27,236,13,20,14
Jesús Areso,Osasuna,12,ESP,RB,25-046,14,14,1242,0,1,0,3,0,0.0,0.0,0.07857142857142858,2,0,742,25,5,15,24,2,412,600,38,321,40,23,10
Carlos Vicente,Alavés,7,ESP,RB,25-115,14,14,1233,3,0,0,18,8,0.12142857142857143,0.12142857142857143,0.13571428571428573,1,0,520,13,4,9,44,1,241,375,22,260,38,46,13
Sergi Cardona,Villarreal,23,ESP,LB,25-042,14,14,1232,1,1,0,14,3,0.12142857142857143,0.12142857142857143,0.12142857142857143,5,0,746,28,18,25,32,4,449,585,31,335,26,12,5
Diego Llorente,Real Betis,3,ESP,CB,30-365,14,14,1224,0,0,0,4,1,0.03571428571428571,0.03571428571428571,0.0071428571428571435,0,0,987,17,24,16,6,1,725,837,38,581,2,4,4
Omar El Hilali,Espanyol,23,MAR,"RB,CB",20-342,14,14,1220,0,0,0,0,0,0.0,0.0,0.0,4,0,715,47,12,18,7,0,434,563,36,311,17,12,7
Luis Pérez,Valladolid,2,ESP,RB,29-197,14,14,1220,0,0,0,3,1,0.0,0.0,0.049999999999999996,2,0,692,23,16,17,25,2,428,563,47,287,15,9,3
Lucas Torró,Osasuna,6,ESP,CM,30-029,14,14,1219,2,0,0,7,3,0.049999999999999996,0.049999999999999996,0.02142857142857143,5,0,709,32,20,23,10,1,404,553,41,263,3,3,2
Aimar Oroz,Osasuna,10,ESP,LW,22-264,15,15,1208,1,0,0,19,6,0.09333333333333332,0.09333333333333332,0.07333333333333333,2,0,541,17,15,16,39,2,342,418,61,323,24,27,14
David López,Girona,5,ESP,CB,34-311,14,14,1207,0,0,0,4,0,0.0071428571428571435,0.0071428571428571435,0.0,2,0,1214,14,9,16,8,1,1007,1099,52,725,8,8,5
Alex Král,Espanyol,20,CZE,CM,26-092,14,14,1204,0,0,0,8,0,0.021428571428571432,0.021428571428571432,0.028571428571428574,0,0,502,34,15,18,16,0,261,354,44,265,18,27,16
Iñaki Williams,Athletic Club,9,GHA,RW,30-061,15,15,1203,3,4,0,22,7,0.22,0.22,0.2733333333333333,0,0,483,10,8,12,35,7,207,339,29,304,36,49,20
Kylian Mbappé,Real Madrid,9,FRA,FW,25-242,14,14,1199,8,1,4,61,28,0.7999999999999999,0.5714285714285714,0.09999999999999999,1,0,609,3,0,1,43,4,357,427,63,420,64,86,37
Dodi Lukebakio,Sevilla,11,BEL,"LW,RW",26-327,15,15,1181,6,0,1,42,17,0.30666666666666664,0.2533333333333333,0.06666666666666667,1,0,555,7,1,7,38,0,288,389,26,361,61,68,35
Johan Mojica,Mallorca,22,COL,LB,31-363,15,15,1178,1,1,0,5,1,0.026666666666666665,0.026666666666666665,0.10666666666666667,3,0,770,18,12,3,28,2,475,642,55,384,20,34,15
Pedri,Barcelona,8,ESP,"LM,AM",21-266,16,16,1172,3,2,0,12,6,0.05625,0.05625,0.1125,2,0,1020,22,11,19,50,6,763,881,97,618,31,19,11
Lucas Oliveira Rosa,Valladolid,22,BRA,LB,24-138,13,13,1170,0,0,0,4,1,0.015384615384615385,0.015384615384615385,0.02307692307692308,4,0,652,36,20,16,18,0,385,520,30,271,19,18,7
